"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lksblwq   ","P",05/06/2021 7:15,0,1,"",11.3,<0> (CND),0.16,<0> (CND),0.1,<0> (CND),93.4,<0> (CND),10.2,<0> (CND),1.78,<0> (CND),1.69,<3> ,"",<-1> ,"","",7.5,<0> (CND),6,<0> (CND),"",<-1> ,
"lksblwq   ","P",05/06/2021 7:30,0,1,"",11.3,<0> ,0.16,<0> ,0.1,<0> ,93.4,<0> ,10.2,<0> ,1.78,<0> ,1.69,<3> ,"",<-1> ,"","",7.6,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 7:45,0,1,"",10.4,<0> ,0.15,<0> ,0.1,<0> ,93.1,<0> ,10.4,<0> ,1.81,<0> ,1.72,<3> ,"",<-1> ,"","",7.5,<0> ,5,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 8:00,0,1,"",10.9,<0> ,0.16,<0> ,0.1,<0> ,93.0,<0> ,10.3,<0> ,1.82,<0> ,1.73,<3> ,"",<-1> ,"","",7.5,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 8:15,0,1,"",11.2,<0> ,0.16,<0> ,0.1,<0> ,93.8,<0> ,10.3,<0> ,1.83,<0> ,1.74,<3> ,"",<-1> ,"","",7.6,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 8:30,0,1,"",11.1,<0> ,0.16,<0> ,0.1,<0> ,93.9,<0> ,10.3,<0> ,1.83,<0> ,1.74,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 8:45,0,1,"",11.2,<0> ,0.16,<0> ,0.1,<0> ,94.0,<0> ,10.3,<0> ,1.82,<0> ,1.73,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 9:00,0,1,"",11.2,<0> ,0.16,<0> ,0.1,<0> ,94.3,<0> ,10.3,<0> ,1.81,<0> ,1.72,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 9:15,0,1,"",11.2,<0> ,0.16,<0> ,0.1,<0> ,94.1,<0> ,10.3,<0> ,1.79,<0> ,1.70,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 9:30,0,1,"",11.1,<0> ,0.16,<0> ,0.1,<0> ,94.3,<0> ,10.4,<0> ,1.80,<0> ,1.71,<3> ,"",<-1> ,"","",7.6,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 9:45,0,1,"",10.8,<0> ,0.15,<0> ,0.1,<0> ,94.2,<0> ,10.4,<0> ,1.81,<0> ,1.72,<3> ,"",<-1> ,"","",7.6,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 10:00,0,1,"",11.0,<0> ,0.15,<0> ,0.1,<0> ,94.2,<0> ,10.4,<0> ,1.81,<0> ,1.72,<3> ,"",<-1> ,"","",7.6,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 10:15,0,1,"",10.8,<0> ,0.15,<0> ,0.1,<0> ,94.0,<0> ,10.4,<0> ,1.80,<0> ,1.72,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 10:30,0,1,"",11.0,<0> ,0.15,<0> ,0.1,<0> ,94.0,<0> ,10.4,<0> ,1.80,<0> ,1.72,<3> ,"",<-1> ,"","",7.6,<0> ,8,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 10:45,0,1,"",11.0,<0> ,0.15,<0> ,0.1,<0> ,93.8,<0> ,10.4,<0> ,1.80,<0> ,1.72,<3> ,"",<-1> ,"","",7.6,<0> ,7,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 11:00,0,1,"",11.1,<0> ,0.16,<0> ,0.1,<0> ,93.7,<0> ,10.3,<0> ,1.80,<0> ,1.73,<3> ,"",<-1> ,"","",7.6,<0> ,7,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 11:15,0,1,"",11.0,<0> ,0.16,<0> ,0.1,<0> ,93.5,<0> ,10.3,<0> ,1.80,<0> ,1.73,<3> ,"",<-1> ,"","",7.6,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 11:30,0,1,"",11.1,<0> ,0.16,<0> ,0.1,<0> ,93.5,<0> ,10.3,<0> ,1.79,<0> ,1.72,<3> ,"",<-1> ,"","",7.6,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 11:45,0,1,"",11.2,<0> ,0.16,<0> ,0.1,<0> ,94.2,<0> ,10.4,<0> ,1.78,<0> ,1.71,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 12:00,0,1,"",11.6,<0> ,0.16,<0> ,0.1,<0> ,93.9,<0> ,10.2,<0> ,1.78,<0> ,1.71,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 12:15,0,1,"",11.7,<0> ,0.17,<0> ,0.1,<0> ,93.7,<0> ,10.2,<0> ,1.79,<0> ,1.73,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 12:30,0,1,"",11.6,<0> ,0.16,<0> ,0.1,<0> ,93.6,<0> ,10.2,<0> ,1.78,<0> ,1.72,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 12:45,0,1,"",11.6,<0> ,0.16,<0> ,0.1,<0> ,93.5,<0> ,10.2,<0> ,1.77,<0> ,1.71,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 13:00,0,1,"",11.5,<0> ,0.16,<0> ,0.1,<0> ,93.5,<0> ,10.2,<0> ,1.76,<0> ,1.70,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 13:15,0,1,"",11.3,<0> ,0.16,<0> ,0.1,<0> ,93.7,<0> ,10.3,<0> ,1.75,<0> ,1.70,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"lksblwq   ","P",05/06/2021 13:30,0,1,"",11.4,<0> ,0.16,<0> ,0.1,<0> ,93.8,<0> ,10.2,<0> ,1.74,<0> ,1.69,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
