"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksbanut  ","P",05/06/2021 12:00,0,1,2         ,1         ,"",0.011,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.368,<0>  ,14.5,<0>  ,
"lksbanut  ","P",05/06/2021 14:00,0,1,2         ,1         ,"",0.01,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.325,<0>  ,13.2,<0>  ,
"lksbanut  ","P",05/06/2021 16:00,0,1,2         ,1         ,"",0.012,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.346,<0>  ,22.1,<0>  ,
"lksbanut  ","P",05/06/2021 16:00,0,1,1         ,1         ,"",0.0070,<0>  ,"",<-2> (CSM) ,0.012,<0>  ,0.362,<0>  ,0.374,<0>  ,12.6,<0>  ,
"lksbanut  ","P",05/06/2021 16:02,0,1,1         ,2         ,"",0.0050,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.338,<0>  ,10.3,<0>  ,
"lksbanut  ","P",05/06/2021 18:00,0,1,2         ,1         ,"",0.013,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.354,<0>  ,11.6,<0>  ,
"lksbanut  ","P",05/06/2021 20:00,0,1,2         ,1         ,"",0.013,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.368,<0>  ,7.0,<0>  ,
"lksbanut  ","P",05/06/2021 22:00,0,1,2         ,1         ,"",0.013,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.367,<0>  ,10.6,<0>  ,
"lksbanut  ","P",05/07/2021 0:00,0,1,2         ,1         ,"",0.011,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.353,<0>  ,13.7,<0>  ,
"lksbanut  ","P",05/07/2021 2:00,0,1,2         ,1         ,"",0.014,<0>  ,"",<-2> (CSM) ,0.01,<0>  ,0.387,<0>  ,0.397,<0>  ,13.3,<0>  ,
"lksbanut  ","P",05/07/2021 4:00,0,1,2         ,1         ,"",0.0070,<0>  ,"",<-2> (CSM) ,0.011,<0>  ,0.398,<0>  ,0.409,<0>  ,12.0,<0>  ,
"lksbanut  ","P",05/07/2021 6:00,0,1,2         ,1         ,"",0.0070,<0>  ,"",<-2> (CSM) ,0.01,<0>  ,0.377,<0>  ,0.387,<0>  ,12.5,<0>  ,
"lksbanut  ","P",05/07/2021 8:00,0,1,2         ,1         ,"",0.0080,<0>  ,"",<-2> (CSM) ,0.01,<0>  ,0.374,<0>  ,0.384,<0>  ,13.8,<0>  ,
"lksbanut  ","P",05/07/2021 10:00,0,1,2         ,1         ,"",0.0050,<0>  ,"",<-2> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.366,<0>  ,17.1,<0>  ,
"lksbanut  ","P",06/07/2021 10:00,0,1,2         ,1         ,"",0.06,<0>  ,0.063,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.204,<0>  ,2.4,<0>  ,
"lksbanut  ","P",06/07/2021 12:00,0,1,2         ,1         ,"",0.06,<0>  ,0.059,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.202,<0>  ,3.3,<0>  ,
"lksbanut  ","P",06/07/2021 14:00,0,1,2         ,1         ,"",0.05,<0>  ,0.048,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.202,<0>  ,4.4,<0>  ,
"lksbanut  ","P",06/07/2021 16:00,0,1,2         ,1         ,"",0.04,<0>  ,0.032,<0>  ,0.0070,<-4> [SBL] ,"",<-4> [SCB] ,0.197,<0>  ,3.4,<0>  ,
