"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksponut  ","P",03/02/2016 9:50,1,1,1         ,1         ,"",0.018,<0> [SRD] (CSM) ,1.34,<-3> (CSM) ,0.028,<-3> (CSM) ,0.448,<-3> [GCR] (CSM) ,0.476,<-3> (CSM) ,1.3,<0> (CSM) ,
"lksponut  ","P",03/02/2016 9:51,1,1,1         ,2         ,"",0.038,<0> [SRD] (CSM) ,1.47,<-3> (CSM) ,0.034,<-3> (CSM) ,0.549,<-3> [GCR] (CSM) ,0.583,<-3> (CSM) ,1.4,<0> (CSM) ,
"lksponut  ","P",04/19/2016 9:58,1,1,1         ,1         ,"",0.013,<0>  ,0.04,<-4> [SBL] (CSM) ,0.016,<1> (CSM) ,0.11,<1> (CSM) ,0.126,<0>  ,7.2,<0>  ,
"lksponut  ","P",04/19/2016 9:59,1,1,1         ,2         ,"",0.015,<0>  ,0.04,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.109,<1> (CSM) ,0.124,<0>  ,6.8,<0>  ,
"lksponut  ","P",05/24/2016 10:05,1,1,1         ,1         ,"",0.035,<0>  ,0.04,<-3> [SBL] (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.03,<0>  ,8.3,<0>  ,
"lksponut  ","P",05/24/2016 10:09,1,1,1         ,2         ,"",0.04,<0>  ,0.04,<-3> [SBL] (CSM) ,0.01,<-4> [SBL] (CSM) ,"",<-4> [SCB] (CSM) ,0.03,<0>  ,6.1,<0>  ,
"lksponut  ","P",06/21/2016 9:40,1,1,1         ,1         ,"",0.018,<0>  ,0.04,<-3> [SBL] (CSM) ,0.01,<-4> [SBL] (CSM) ,"",<-4> [SCB] (CSM) ,0.039,<0>  ,1.9,<0>  ,
"lksponut  ","P",06/21/2016 9:43,1,1,1         ,2         ,"",0.017,<0>  ,0.04,<-3> [SBL] (CSM) ,0.01,<-4> [SBL] (CSM) ,"",<-4> [SCB] (CSM) ,0.031,<0>  ,2.1,<0>  ,
"lksponut  ","P",07/13/2016 9:49,1,1,1         ,1         ,"",0.013,<0>  ,0.04,<-3> [SBL] (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.033,<0>  ,1.4,<0>  ,
"lksponut  ","P",07/13/2016 9:50,1,1,1         ,2         ,"",0.013,<0>  ,0.054,<-3> (CSM) ,0.01,<-4> [SBL] ,"",<-4> [SCB] ,0.032,<0>  ,1.2,<0>  ,
"lksponut  ","P",08/23/2016 9:57,1,1,1         ,1         ,"",0.034,<0>  ,0.0050,<0>  ,"",<-2> [GDM] ,"",<-2> [GCM] ,0.0040,<0>  ,17.2,<0>  ,
"lksponut  ","P",08/23/2016 10:00,1,1,1         ,2         ,"",0.03,<0>  ,0.01,<0>  ,"",<-2> [GDM] ,"",<-2> [GCM] ,0.0090,<0>  ,15.4,<0>  ,
"lksponut  ","P",09/20/2016 9:35,1,1,1         ,1         ,"",0.017,<0>  ,0.01,<0>  ,"",<-2> [GDM] ,"",<-2> [GCM] ,0.0030,<0>  ,4.3,<0>  ,
"lksponut  ","P",09/20/2016 9:37,1,1,1         ,2         ,"",0.017,<0>  ,0.0080,<0>  ,"",<-2> [GDM] ,"",<-2> [GCM] ,0.0050,<0>  ,3.8,<0>  ,
"lksponut  ","P",10/25/2016 9:48,1,1,1         ,1         ,"",0.018,<-3> (CSM) ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,0.048,<-3> (CSM) ,9.1,<0>  ,
"lksponut  ","P",10/25/2016 9:50,1,1,1         ,2         ,"",0.018,<-3> (CSM) ,"",<-2> [GDM] ,"",<-2> [GDM] ,"",<-2> [GCM] ,0.047,<-3> (CSM) ,8.3,<0>  ,
"lksponut  ","P",11/22/2016 10:34,1,1,1         ,1         ,"",0.012,<-3> (CSM) ,0.045,<-3> (CSM) ,0.022,<-3> (CSM) ,0.463,<-3> [GCR] (CSM) ,0.485,<-3> (CSM) ,9.6,<1> (CHB) ,
"lksponut  ","P",11/22/2016 10:36,1,1,1         ,2         ,"",0.01,<-3> [SBL] (CSM) ,0.05,<-3> (CSM) ,0.022,<-3> (CSM) ,0.426,<-3> [GCR] (CSM) ,0.448,<-3> (CSM) ,6.0,<1> (CHB) ,

