"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksblnut  ","P",03/09/2017 12:10,1,1,1         ,1         ,"{CIP}",0.013,<1> [GQS] (CSM) ,"",<-2> [GDM] ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,0.575,<-3> [GQD] (CSM) ,2.1,<0>  ,
"lksblnut  ","P",03/09/2017 12:11,1,1,1         ,2         ,"{CIP}",0.016,<1> [GQS] (CSM) ,"",<-2> [GDM] ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,0.581,<-3> [GQD] (CSM) ,1.5,<0>  ,
"lksblnut  ","P",04/22/2017 11:37,1,1,1         ,1         ,"",0.016,<1> [GQS] (CSM) ,0.046,<1> [GQS] (CSM) ,0.017,<1> [GQS] (CSM) ,0.206,<-3> [GCR] ,0.223,<-3> [GQD] (CSM) ,2.7,<0>  ,
"lksblnut  ","P",04/22/2017 11:38,1,1,1         ,2         ,"",0.013,<1> [GQS] (CSM) ,0.043,<1> [GQS] (CSM) ,0.02,<1> [GQS] (CSM) ,0.17,<-3> [GCR] ,0.19,<-3> [GQD] (CSM) ,2.9,<0>  ,
"lksblnut  ","P",05/24/2017 9:22,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,0.065,<1> [GQS] (CSM) ,0.0050,<-4> [SBL] (CHB) ,0.039,<-3> [GCR] (CHB) ,0.044,<-3> [GQD] (CHB) ,2.0,<0>  ,
"lksblnut  ","P",05/24/2017 9:23,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,0.066,<1> [GQS] (CSM) ,0.0050,<-4> [SBL] (CHB) ,0.045,<-3> [GCR] (CHB) ,0.05,<-3> [GQD] (CHB) ,1.9,<0>  ,
"lksblnut  ","P",06/29/2017 11:25,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,0.023,<-3> [GQD] (CSM) ,0.0050,<-4> [SBL] (CSM) ,0.092,<-3> [GCR] ,0.097,<-3> [GQD] (CSM) ,4.2,<0>  ,
"lksblnut  ","P",06/29/2017 11:27,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,0.025,<-3> [GQD] (CSM) ,0.0050,<-4> [SBL] (CSM) ,0.097,<-3> [GCR] ,0.102,<-3> [GQD] (CSM) ,3.6,<0>  ,
"lksblnut  ","P",07/25/2017 9:01,1,1,1         ,1         ,"{CSM}","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,2.4,<0>  ,
"lksblnut  ","P",07/25/2017 9:02,1,1,1         ,2         ,"{CSM}","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] ,"",<-2> [GDM] (CSM) ,2.7,<0>  ,
"lksblnut  ","P",08/28/2017 11:08,1,1,1         ,1         ,"",0.0030,<-4> [SBL] (CHB) ,0.059,<1> [GQS] (CHB) ,0.012,<1> (CHB) ,0.137,<1> (CHB) ,0.149,<1> (CHB) ,5.5,<0>  ,
"lksblnut  ","P",08/28/2017 11:10,1,1,1         ,2         ,"",0.0050,<1> (CHB) ,0.063,<1> [GQS] (CHB) ,0.011,<1> (CHB) ,0.136,<1> (CHB) ,0.147,<1> (CHB) ,7.8,<0>  ,
"lksblnut  ","P",09/22/2017 10:43,1,1,1         ,1         ,"",0.018,<1> (CHB) ,0.172,<1> [GQS] (CHB) ,0.0050,<-4> [SBL] ,"",<-4> [SCB] (CHB) ,0.26,<1> (CHB) ,2.9,<0>  ,
"lksblnut  ","P",09/22/2017 10:45,1,1,1         ,2         ,"",0.01,<1> (CHB) ,0.12,<1> [GQS] (CHB) ,0.017,<0>  ,0.118,<1> (CHB) ,0.135,<1> (CHB) ,3.0,<0>  ,
"lksblnut  ","P",10/18/2017 9:47,1,1,1         ,1         ,"",0.0060,<0>  ,0.116,<1> [GQS] (CSM) ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.132,<0>  ,0.5,<0>  ,
"lksblnut  ","P",10/18/2017 9:48,1,1,1         ,2         ,"",0.0060,<0>  ,0.134,<1> [GQS] (CSM) ,0.0060,<0>  ,0.155,<0>  ,0.161,<0>  ,0.4,<0>  ,

